latitude,longitude,material_of_building,Type_of_furniture,square_meters,number_of_rooms,year_of_completion,floor,residential_complex,number_of_floors,type_of_building,smart_house,floor_heating,security,cost_in_dollars
49.84768,24.0243,brick house,perfect,101.6,4.0,1917.0,2.0,none,1.0,apartment,No,No,No,165000.0
49.84768,24.0243,brick house,perfect,71,3.0,1917.0,2.0,none,1.0,apartment,No,No,No,130000.0
49.84768,24.0243,brick house,perfect,62,3.0,1917.0,3.0,none,1.0,apartment,No,No,No,125000.0
49.84768,24.0243,brick house,good,12,1.0,1917.0,1.0,none,1.0,apartment,No,No,No,22000.0
49.84768,24.0243,brick house,low-medium,63,2.0,1917.0,3.0,none,1.0,apartment,No,No,No,63000.0
49.84768,24.0243,brick house,medium,63,3.0,1917.0,1.0,none,1.0,apartment,No,No,No,105000.0
49.84768,24.0243,brick house,medium,49,2.0,1917.0,1.0,none,1.0,apartment,No,No,No,75000.0
49.84768,24.0243,brick house,none,33.4,2.0,1917.0,1.0,none,1.0,apartment,No,No,No,37000.0
49.84768,24.0243,brick house,perfect,35.8,1.0,1917.0,1.0,none,1.0,apartment,No,No,No,62000.0
49.84612,24.02187,brick house,perfect,45,2.0,1917.0,2.0,none,1.0,apartment,No,No,No,90000.0
49.84475,24.01975,brick house,perfect,25,1.0,1912.0,2.0,none,1.0,apartment,No,No,No,42500.0
49.84624,24.0261,brick house,medium-good,161.8,5.0,1918.0,2.0,none,2.0,apartment,No,No,No,210000.0
49.84622,24.02767,brick house,good,68,2.0,1981.0,4.0,none,1.0,apartment,No,Yes,No,95000.0
49.84908,24.02767,brick house,perfect,86.5,2.0,1917.0,13.0,none,1.0,apartment,No,Yes,No,160000.0
49.84931,24.02809,brick house,none,137,5.0,1890.0,5.0,none,1.0,apartment,No,No,No,147000.0
49.84999,24.02722,brick house,perfect,28,1.0,1917.0,3.0,none,1.0,apartment,No,No,No,56000.0
49.85018,24.02716,brick house,perfect,28,1.0,1917.0,1.0,none,1.0,apartment,No,Yes,No,56000.0
49.85059,24.02701,brick house,perfect,69,2.0,1917.0,2.0,none,1.0,apartment,No,Yes,No,175000.0
49.85063,24.02722,brick house,medium-good,29,1.0,1915.0,1.0,none,1.0,apartment,No,No,No,36500.0
49.84803,24.02978,brick house,perfect,39.7,2.0,2019.0,2.0,АН Атланта,1.0,apartment,No,No,No,67000.0
49.84741,24.02919,brick house,perfect,30,1.0,2019.0,1.0,АН Атланта,1.0,apartment,No,Yes,No,63000.0
49.84704,24.02988,brick house,perfect,40,2.0,1840.0,2.0,none,1.0,apartment,No,No,No,67000.0
49.84891,24.02373,brick house,none,79.55,2.0,2019.0,5.0,ЖК Perfect Loft,1.0,apartment,No,No,No,214650.0
49.84891,24.02373,brick house,none,77.5,2.0,2019.0,5.0,ЖК Perfect Loft,1.0,apartment,No,No,No,209000.0
49.84891,24.02373,brick house,none,86,2.0,2019.0,6.0,ЖК Perfect Loft,1.0,apartment,No,No,No,232200.0
49.84902,24.02256,brick house,perfect,122.1,4.0,2019.0,5.0,АН Атланта,2.0,apartment,No,Yes,No,250000.0
49.83985,24.00715,brick house,none,105,3.0,2024.0,8.0,ЖК Praud Select,1.0,apartment,No,No,No,221000.0
49.83985,24.00715,brick house,none,52.48,1.0,2024.0,2.0,ЖК Praud Select,1.0,apartment,No,No,No,87852.0
49.84906,24.02314,brick house,none,59.2,1.0,2017.0,3.0,ЖК Perfect Loft,1.0,apartment,No,No,No,49320.0
49.84906,24.02314,brick house,none,46.97,1.0,2017.0,6.0,ЖК Perfect Loft,1.0,apartment,No,No,No,39180.0
49.84897,24.01951,brick house,none,106,4.0,1990.0,1.0,none,2.0,apartment,No,No,No,147000.0
49.85118,24.01896,brick house,none,50.2,2.0,1930.0,4.0,none,1.0,apartment,No,Yes,No,115000.0
49.85136,24.01942,brick house,medium-good,63,2.0,1930.0,4.0,none,1.0,apartment,No,No,No,79000.0
49.85108,24.02784,brick house,good,26,1.0,1885.0,1.0,none,1.0,apartment,No,Yes,No,35500.0
49.8516,24.01742,brick house,good,39,2.0,1915.0,3.0,none,1.0,apartment,No,Yes,No,57000.0
49.85177,24.02629,brick house,perfect,17,1.0,2018.0,1.0,ЖК З_40,1.0,apartment,No,Yes,No,34000.0
49.85177,24.02629,brick house,none,49.89,1.0,2018.0,7.0,ЖК З_40,1.0,apartment,No,No,No,107200.0
49.85177,24.02629,brick house,none,50.21,1.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,82850.0
49.85177,24.02629,brick house,none,72.98,3.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,153200.0
49.85177,24.02629,brick house,none,74.97,3.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,157400.0
49.85177,24.02629,brick house,none,69.83,2.0,2023.0,5.0,ЖК З_40,1.0,apartment,No,No,No,132700.0
49.85177,24.02629,brick house,none,49.89,1.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,107200.0
49.85177,24.02629,brick house,none,49.27,1.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,105900.0
49.85177,24.02629,brick house,none,77,3.0,2023.0,5.0,ЖК З_40,1.0,apartment,No,No,No,146718.0
49.85177,24.02629,brick house,none,70,2.0,2023.0,6.0,ЖК З_40,1.0,apartment,No,No,No,139600.0
49.85177,24.02629,brick house,none,77,3.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,157500.0
49.85177,24.02629,brick house,none,77.22,3.0,2023.0,6.0,ЖК З_40,1.0,apartment,No,No,No,154400.0
49.85177,24.02629,brick house,none,72.89,1.0,2023.0,4.0,ЖК З_40,1.0,apartment,No,No,No,131200.0
49.85177,24.02629,brick house,none,50,1.0,2023.0,7.0,ЖК З_40,1.0,apartment,No,No,No,107264.0
49.85177,24.02629,brick house,none,77.20,3.0,2023.0,5.0,ЖК З_40,1.0,apartment,No,No,No,146700.0
49.85268,24.02578,brick house,none,27.63,1.0,2023.0,8.0,АН Атланта,1.0,apartment,No,No,No,42000.0
49.85224,24.02697,brick house,perfect,100,2.0,1827.0,2.0,none,1.0,apartment,No,Yes,No,200000.0
49.85208,24.03558,brick house,medium-good,58.3,2.0,1833.0,2.0,none,1.0,apartment,No,No,No,69000.0
49.85415,24.04268,brick house,good,63.2,2.0,1872.0,3.0,none,1.0,apartment,No,No,No,79000.0
49.85311,24.03602,brick house,none,147,4.0,2021.0,6.0,ЖК Львівський дворик,1.0,apartment,No,No,Yes,147000.0
49.85311,24.03602,brick house,none,136,4.0,2021.0,6.0,ЖК Львівський дворик,1.0,apartment,No,No,Yes,147000.0
49.85311,24.03602,brick house,none,88,2.0,2020.0,6.0,ЖК Львівський дворик,1.0,apartment,No,No,Yes,88000.0
49.85276,24.0372,brick house,perfect,37,1.0,1880.0,3.0,none,1.0,apartment,No,No,No,64000.0
49.8531,24.0371,brick house,medium-good,30,1.0,1880.0,3.0,none,1.0,apartment,No,No,No,55000.0
